linea,estacion,afluencia_promedio,capacidad_estimada,indice_saturacion,categoria_saturacion
LINEA  6,Instituto Del Petróleo,5866.5,13186,44.49036857272865,Baja
L1,Insurgentes,51114.55030660913,159845,31.97757221471371,Baja
LÍNEA 1,Insurgentes,28919.30188679245,159845,18.09209039181235,Baja
L-1,Insurgentes,45114.8,159845,28.224092089211428,Baja
LINÉA 3,Insurgentes,41736.0,159845,26.110294347649287,Baja
L7,Insurgentes,62837.0,159845,39.31120773249085,Baja
LINEA B2,Insurgentes,21689.0,159845,13.568769745691139,Baja
LIENA 5,Insurgentes,35601.666666666664,159845,22.272618265611477,Baja
L1,Isabel La Católica,21689.956960322797,77239,28.0816128643856,Baja
LÍNEA 1,Isabel La Católica,14700.27306967985,77239,19.032189787128072,Baja
LÍNEA 11,Isabel La Católica,19360.0,77239,25.06505780758425,Baja
LNIEA 4,Isabel La Católica,23912.0,77239,30.958453630937736,Baja
L-1,Isabel La Católica,24684.333333333332,77239,31.958380265582587,Baja
LINENA 1,Isabel La Católica,11137.5,77239,14.419528994419917,Baja
LINEA B2,Isabel La Católica,16914.0,77239,21.898263830448347,Baja
L8,Iztacalco,19483.112441648063,40330,48.309229956975116,Baja
L-8,Iztacalco,21959.75,40330,54.45016117034466,Media
LÍNEA 8,Iztacalco,13841.721088435374,40330,34.32115320712961,Baja
LNIEA 4,Iztacalco,15838.0,40330,39.271014133399454,Baja
LINENA 1,Iztacalco,11142.666666666666,40330,27.62872964707827,Baja
L7,Iztacalco,14132.5,40330,35.042152243987104,Baja
LINEA  6,Iztacalco,28420.0,40330,70.46863377138607,Media
LINÉA 3,Iztacalco,11175.5,40330,27.710141333994542,Baja
LIENA 5,Iztacalco,10184.0,40330,25.251673692040665,Baja
L3,Miguel Ángel De Quevedo,30449.565111561868,56262,54.121014381930735,Media
LNIEA 4,Miguel Ángel De Quevedo,35977.0,56262,63.945469410970105,Media
LÍNEA 3,Miguel Ángel De Quevedo,23297.856976744188,56262,41.40957835971737,Baja
L-3,Miguel Ángel De Quevedo,32766.727272727272,56262,58.23953516179174,Media
LINENA 1,Miguel Ángel De Quevedo,31846.5,56262,56.603924496107496,Media
LINÉA 3,Miguel Ángel De Quevedo,32907.0,56262,58.48885571078169,Media
LINEA B2,Miguel Ángel De Quevedo,22763.0,56262,40.458924318367636,Baja
L2,Panteones,12822.959103986848,32692,39.223538186672116,Baja
LÍNEA 2,Panteones,8622.335697399527,32692,26.37445153982481,Baja
LNIEA 4,Panteones,14817.0,32692,45.32301480484522,Baja
LINENA 1,Panteones,12318.333333333334,32692,37.679962478078224,Baja
L-2,Panteones,12137.42857142857,32692,37.12660152767825,Baja
LINEA  6,Panteones,10479.5,32692,32.055242872874096,Baja
LÍNEA 11,Panteones,15607.666666666666,32692,47.74154737142624,Baja
LINEA B2,Panteones,16258.333333333334,32692,49.73184061340185,Baja
LINÉA 3,Panteones,23344.0,32692,71.40584852563319,Media
LIENA 5,Panteones,6853.0,32692,20.962314939434723,Baja
L7,Panteones,30720.0,32692,93.96794322770097,Alta
L1,Pino Suárez,30266.508999581416,74475,40.63982410148562,Baja
L2,Pino Suárez,25542.2198047987,74475,34.29636764659107,Baja
L7,Pino Suárez,32910.666666666664,74475,44.190220431912266,Baja
LINENA 1,Pino Suárez,43977.0,74475,59.04934541792548,Media
L-2,Pino Suárez,29376.75,74475,39.44511581067472,Baja
L-1,Pino Suárez,35541.57142857143,74475,47.722821656356395,Baja
LÍNEA 2,Pino Suárez,19100.808235294116,74475,25.647275240408344,Baja
LÍNEA 1,Pino Suárez,23605.438756855576,74475,31.69578886452578,Baja
LNIEA 4,Pino Suárez,36112.0,74475,48.48875461564283,Baja
LINÉA 3,Pino Suárez,35243.0,74475,47.3219201074186,Baja
LÍNEA 11,Pino Suárez,27448.0,74475,36.855320577374954,Baja
LIENA 5,Pino Suárez,42162.0,74475,56.6122860020141,Media
LINEA B2,Pino Suárez,23717.0,74475,31.845585767035917,Baja
LB,Tepito,21954.260234519646,55313,39.69095914978332,Baja
LÍNEA B,Tepito,17418.62315550511,55313,31.491011435838068,Baja
LINENA 1,Tepito,14490.5,55313,26.19727731274746,Baja
LÍNEA 11,Tepito,23135.5,55313,41.82651456258022,Baja
LIENA 5,Tepito,20189.0,55313,36.499557066150814,Baja
L-B,Tepito,22410.875,55313,40.51646990761665,Baja
LINÉA 3,Tepito,22643.0,55313,40.936127131054185,Baja
LNIEA 4,Tepito,19726.0,55313,35.66250248585324,Baja
L7,Tepito,19781.0,55313,35.761936615262236,Baja
LINEA B2,Tepito,20032.0,55313,36.21571782401967,Baja
L3,Tlatelolco,20065.360812182742,49117,40.852170963582346,Baja
LÍNEA 3,Tlatelolco,12763.234610917538,49117,25.98537087142443,Baja
LÍNEA 11,Tlatelolco,17069.5,49117,34.75273326954007,Baja
L-3,Tlatelolco,22661.333333333332,49117,46.137454106181835,Baja
LIENA 5,Tlatelolco,19229.0,49117,39.14937801575829,Baja
LINEA  6,Tlatelolco,28794.0,49117,58.62328725288597,Media
LINÉA 3,Tlatelolco,17493.5,49117,35.61597817456278,Baja
LNIEA 4,Tlatelolco,14232.0,49117,28.975711057271415,Baja
L7,Tlatelolco,13477.0,49117,27.438565058940895,Baja
L6,Uam-azcapotzalco,7596.323900651466,17264,44.000949378194306,Baja
L-6,Uam-azcapotzalco,6779.875,17264,39.27175046339203,Baja
LIENA 5,Uam-azcapotzalco,8385.0,17264,48.56927710843373,Baja
LÍNEA 6,Uam-azcapotzalco,5384.553386911596,17264,31.18948903447403,Baja
LINENA 1,Uam-azcapotzalco,7671.0,17264,44.43350324374421,Baja
LINEA B2,Uam-azcapotzalco,4142.0,17264,23.99212233549583,Baja
LNIEA 4,Uam-azcapotzalco,9419.0,17264,54.55861909175162,Media
LÍNEA 11,Uam-azcapotzalco,6333.5,17264,36.68616774791474,Baja
L7,Uam-azcapotzalco,7328.0,17264,42.446709916589434,Baja
L3,Universidad,64584.72248219736,150079,43.03381717775129,Baja
L-3,Universidad,53436.444444444445,150079,35.60554404310026,Baja
LINEA  6,Universidad,74211.5,150079,49.44829056696806,Baja
LNIEA 4,Universidad,108913.0,150079,72.57044623165133,Media
LÍNEA 3,Universidad,39679.48356807512,150079,26.439064471428463,Baja
LÍNEA 11,Universidad,67641.0,150079,45.07026299482273,Baja
LIENA 5,Universidad,33851.0,150079,22.555454127492855,Baja
LINÉA 3,Universidad,50112.5,150079,33.39074753962913,Baja
LINENA 1,Universidad,81616.75,150079,54.38252520339289,Media
L9,Velódromo,10764.261231957715,64689,16.640017981353424,Baja
LÍNEA 11,Velódromo,8836.125,64689,13.65939340537031,Baja
LINENA 1,Velódromo,8749.25,64689,13.525097002581582,Baja
LÍNEA 9,Velódromo,6259.900921658987,64689,9.676917129123943,Baja
L-9,Velódromo,7945.5,64689,12.282613736493067,Baja
LINÉA 3,Velódromo,6956.5,64689,10.753760299278085,Baja
LINEA B2,Velódromo,1892.0,64689,2.924763097280836,Baja
L2,Villa De Cortés,17330.21731160896,35803,48.40437201242623,Baja
LÍNEA 2,Villa De Cortés,10662.514654161781,35803,29.78106486652454,Baja
L-2,Villa De Cortés,14814.3,35803,41.37725888891992,Baja
LINÉA 3,Villa De Cortés,21602.0,35803,60.335726056475714,Media
LNIEA 4,Villa De Cortés,9635.0,35803,26.911152696701397,Baja
LÍNEA 11,Villa De Cortés,13674.0,35803,38.19233025165489,Baja
LINEA B2,Villa De Cortés,9444.0,35803,26.377677848225012,Baja
LIENA 5,Villa De Cortés,24217.0,35803,67.63958327514455,Media
LINEA  6,Villa De Cortés,20559.0,35803,57.42256235510991,Media
LINENA 1,Villa De Cortés,13214.0,35803,36.90752171605731,Baja
L6,Deportivo 18 De Marzo,2090.5792048929666,152394,1.3718251406833384,Baja
L3,Deportivo 18 De Marzo,35354.3992248062,152394,23.19933804795871,Baja
L-3,Deportivo 18 De Marzo,33966.416666666664,152394,22.288552480193882,Baja
LÍNEA 6,Deportivo 18 De Marzo,1075.9920634920634,152394,0.7060593353360785,Baja
L-6,Deportivo 18 De Marzo,2028.5,152394,1.331089150491489,Baja
LÍNEA 3,Deportivo 18 De Marzo,21564.322352941177,152394,14.150374918265271,Baja
L7,Deportivo 18 De Marzo,15126.25,152394,9.925751670013256,Baja
LINÉA 3,Deportivo 18 De Marzo,13478.166666666666,152394,8.84428958270448,Baja
LINEA B2,Deportivo 18 De Marzo,26702.666666666668,152394,17.522124668075296,Baja
LÍNEA 11,Deportivo 18 De Marzo,4677.5,152394,3.0693465622006117,Baja
LINENA 1,Deportivo 18 De Marzo,21340.5,152394,14.003504074963583,Baja
LNIEA 4,Deportivo 18 De Marzo,26808.0,152394,17.591243749753925,Baja
LIENA 5,Deportivo 18 De Marzo,16339.6,152394,10.72194443350788,Baja
L3,División Del Norte,17796.82541301244,124084,14.342562629357888,Baja
LINÉA 3,División Del Norte,16763.666666666668,124084,13.509934130642684,Baja
LÍNEA 3,División Del Norte,10607.023282887078,124084,8.548260277624092,Baja
L7,División Del Norte,21498.833333333332,124084,17.326031827901527,Baja
L-3,División Del Norte,15803.0,124084,12.735727410463879,Baja
LÍNEA 11,División Del Norte,20980.0,124084,16.907901099255344,Baja
LINEA  6,División Del Norte,7426.0,124084,5.9846555559137355,Baja
L3,Eugenia,16826.4432256754,95225,17.670195038777003,Baja
LÍNEA 3,Eugenia,9986.19373549884,95225,10.486945377263156,Baja
L-3,Eugenia,14949.888888888889,95225,15.699542020361132,Baja
LINENA 1,Eugenia,17400.0,95225,18.27251247046469,Baja
L7,Eugenia,15371.0,95225,16.14176949330533,Baja
LINEA  6,Eugenia,11599.0,95225,12.180624835914939,Baja
LNIEA 4,Eugenia,12902.0,95225,13.548962982410082,Baja
LÍNEA 11,Eugenia,13310.333333333334,95225,13.977771943642251,Baja
L2,General Anaya,26352.30383600568,52492,50.202514356484194,Media
LINENA 1,General Anaya,11851.0,52492,22.576773603596738,Baja
LÍNEA 2,General Anaya,13170.334905660377,52492,25.090175466090788,Baja
LNIEA 4,General Anaya,22230.0,52492,42.349310371104174,Baja
LINÉA 3,General Anaya,45740.0,52492,87.13708755619905,Alta
LIENA 5,General Anaya,20429.25,52492,38.91878762478092,Baja
L7,General Anaya,37004.0,52492,70.49455155071249,Media
L-2,General Anaya,22455.636363636364,52492,42.779159421695425,Baja
LINEA  6,General Anaya,28579.5,52492,54.445439305036956,Media
LB,Guerrero,5528.591815960912,30474,18.14199585207361,Baja
L3,Guerrero,11308.907667276795,30474,37.110020565980165,Baja
L-3,Guerrero,12997.454545454546,30474,42.65096326525742,Baja
LÍNEA 3,Guerrero,7319.924154025671,30474,24.02022758425435,Baja
LÍNEA B,Guerrero,4647.301014656145,30474,15.25005255186764,Baja
LINENA 1,Guerrero,8260.0,30474,27.10507317713461,Baja
LNIEA 4,Guerrero,7707.0,30474,25.290411498326442,Baja
LÍNEA 11,Guerrero,6332.0,30474,20.778368445232,Baja
LINÉA 3,Guerrero,5969.428571428572,30474,19.588595430296554,Baja
L-B,Guerrero,5422.142857142857,30474,17.792685099241506,Baja
LINEA  6,Guerrero,6363.0,30474,20.880094506792677,Baja
LIENA 5,Guerrero,5294.0,30474,17.372186125877796,Baja
L7,Guerrero,9872.666666666666,30474,32.39701603552756,Baja
LINEA B2,Guerrero,10390.5,30474,34.096278795038394,Baja
L1,Gómez Farías,36713.914615384616,67130,54.690771064180865,Media
LINÉA 3,Gómez Farías,28079.0,67130,41.82779681215552,Baja
L-1,Gómez Farías,34626.333333333336,67130,51.58101196683054,Media
LINENA 1,Gómez Farías,37820.5,67130,56.33919261135111,Media
LÍNEA 1,Gómez Farías,22393.61552680222,67130,33.35858115120247,Baja
L7,Gómez Farías,37916.5,67130,56.48219871890362,Media
LINEA B2,Gómez Farías,21302.0,67130,31.732459407120512,Baja
LÍNEA 11,Gómez Farías,45728.666666666664,67130,68.1195689954814,Media
LNIEA 4,Gómez Farías,40548.0,67130,60.40220467749143,Media
LINEA  6,Gómez Farías,44240.0,67130,65.90198123044838,Media
LIENA 5,Gómez Farías,39141.0,67130,58.306271413674956,Media
L3,Hidalgo,17214.78453376862,77852,22.11219305061992,Baja
L2,Hidalgo,30282.063993519645,77852,38.89696346082264,Baja
L-2,Hidalgo,31553.88888888889,77852,40.53060793414285,Baja
LÍNEA 3,Hidalgo,9923.046403712297,77852,12.746039155978389,Baja
L7,Hidalgo,18526.4,77852,23.796948055284386,Baja
LÍNEA 2,Hidalgo,21329.520564042305,77852,27.397524230645722,Baja
L-3,Hidalgo,15664.2,77852,20.120485022863896,Baja
LINENA 1,Hidalgo,14521.6,77852,18.652828443713716,Baja
LÍNEA 11,Hidalgo,27516.0,77852,35.34398602476494,Baja
LINÉA 3,Hidalgo,17720.0,77852,22.76113651543955,Baja
LINEA  6,Hidalgo,42145.0,77852,54.1347685351693,Media
LIENA 5,Hidalgo,17822.0,77852,22.892154344140163,Baja
LINEA B2,Hidalgo,16955.0,77852,21.778502800184967,Baja
LNIEA 4,Hidalgo,5603.0,77852,7.196989158916919,Baja
L8,Iztapalapa,9990.56281920327,41613,24.008273422255712,Baja
LÍNEA 8,Iztapalapa,8457.655367231639,41613,20.324550902918894,Baja
L-8,Iztapalapa,9491.25,41613,22.80837718982049,Baja
LINEA  6,Iztapalapa,10200.5,41613,24.51277245091678,Baja
LIENA 5,Iztapalapa,17013.0,41613,40.88385840963161,Baja
LNIEA 4,Iztapalapa,9287.0,41613,22.31754499795737,Baja
LINENA 1,Iztapalapa,11188.0,41613,26.88582894768462,Baja
LINEA B2,Iztapalapa,8810.5,41613,21.172470141542306,Baja
L7,Iztapalapa,9437.5,41613,22.67921082354072,Baja
LINEA 12,Mexicaltzingo,14475.581424936387,31793,45.53071879009967,Baja
LIENA 5,Mexicaltzingo,12657.5,31793,39.812222816343215,Baja
LINEA B2,Mexicaltzingo,19658.5,31793,61.832793382191056,Media
LÍNEA 12,Mexicaltzingo,8808.15953307393,31793,27.704713405699145,Baja
LINÉA 3,Mexicaltzingo,14952.0,31793,47.02922026861259,Baja
LNIEA 4,Mexicaltzingo,10154.0,31793,31.937847953952126,Baja
LÍNEA 11,Mexicaltzingo,9165.0,31793,28.827100305098607,Baja
LINENA 1,Mexicaltzingo,11047.0,31793,34.74664234265404,Baja
L6,Norte 45,6532.990121424162,14618,44.69140868397976,Baja
LÍNEA 6,Norte 45,5107.0388127853885,14618,34.93664531936919,Baja
L-6,Norte 45,3673.714285714286,14618,25.13144264409827,Baja
LINEA B2,Norte 45,4214.0,14618,28.827472978519637,Baja
LNIEA 4,Norte 45,6832.75,14618,46.74203037351211,Baja
L7,Norte 45,6611.0,14618,45.2250649883705,Baja
LÍNEA 11,Norte 45,5155.333333333333,14618,35.26702239248415,Baja
LINÉA 3,Norte 45,7999.5,14618,54.72362840333835,Media
LINEA  6,Norte 45,7543.666666666667,14618,51.60532676608748,Media
L5,Oceanía,8353.881276682252,41458,20.150227402870982,Baja
LB,Oceanía,9870.872116552004,41458,23.80933020539342,Baja
LNIEA 4,Oceanía,7630.0,41458,18.404168073713155,Baja
LÍNEA 5,Oceanía,6638.220454545454,41458,16.01191677009372,Baja
L-5,Oceanía,7461.7,41458,17.998215061025615,Baja
LÍNEA 11,Oceanía,11624.0,41458,28.038014375994987,Baja
LINEA B2,Oceanía,8965.333333333334,41458,21.625098493254217,Baja
LINENA 1,Oceanía,8926.0,41458,21.530223358579768,Baja
LINEA  6,Oceanía,8385.5,41458,20.22649428337112,Baja
L7,Oceanía,10155.666666666666,41458,24.496277357003873,Baja
L-B,Oceanía,9386.5,41458,22.64098605817936,Baja
LÍNEA B,Oceanía,7214.845454545454,41458,17.402782224288327,Baja
LIENA 5,Oceanía,9350.0,41458,22.55294514930773,Baja
LINÉA 3,Oceanía,9667.0,41458,23.317574412658594,Baja
LINEA 12,Olivos,14541.34321068056,69813,20.8289906044441,Baja
LIENA 5,Olivos,16167.5,69813,23.158294300488446,Baja
LÍNEA 11,Olivos,8991.0,69813,12.878690215289415,Baja
LINEA B2,Olivos,16403.0,69813,23.495624024178877,Baja
LÍNEA 12,Olivos,9021.561983471074,69813,12.922467138600366,Baja
L7,Olivos,7922.0,69813,11.34745677739103,Baja
L9,Patriotismo,17007.783475783475,47899,35.50759614142983,Baja
LÍNEA 9,Patriotismo,13047.35657142857,47899,27.239308902959497,Baja
L-9,Patriotismo,13904.23076923077,47899,29.02822766494242,Baja
LNIEA 4,Patriotismo,14701.0,47899,30.691663709054467,Baja
LÍNEA 11,Patriotismo,12920.5,47899,26.97446710787282,Baja
LINÉA 3,Patriotismo,15795.0,47899,32.975636234576925,Baja
L7,Patriotismo,36.0,47899,0.07515814526399299,Baja
LINEA B2,Patriotismo,21073.5,47899,43.99569928390989,Baja
LINEA  6,Patriotismo,17452.0,47899,36.43499864297793,Baja
L2,Popotla,9765.296502057614,22218,43.952185174442405,Baja
LNIEA 4,Popotla,11703.0,22218,52.67350796651363,Media
LINEA B2,Popotla,9756.0,22218,43.91034296516338,Baja
LÍNEA 2,Popotla,6033.053864168618,22218,27.153901630068493,Baja
L-2,Popotla,10434.222222222223,22218,46.96292295536152,Baja
LINENA 1,Popotla,9964.0,22218,44.8465208389594,Baja
LINEA  6,Popotla,7816.0,22218,35.17868394995049,Baja
LÍNEA 11,Popotla,8574.0,22218,38.59033216311099,Baja
LIENA 5,Popotla,5483.0,22218,24.678188855882617,Baja
LINÉA 3,Popotla,4811.0,22218,21.65361418669547,Baja
LB,Ricardo Flores Magón,5993.138877592517,11933,50.22323705348627,Media
LÍNEA B,Ricardo Flores Magón,4733.019540229885,11933,39.66328283105577,Baja
LINÉA 3,Ricardo Flores Magón,7100.333333333333,11933,59.50166205759937,Media
L-B,Ricardo Flores Magón,6427.833333333333,11933,53.866029777368084,Media
L7,Ricardo Flores Magón,5182.0,11933,43.42579401659265,Baja
LINEA B2,Ricardo Flores Magón,3593.0,11933,30.1097796027822,Baja
LINEA  6,Ricardo Flores Magón,5377.333333333333,11933,45.062711248917566,Baja
LINENA 1,Ricardo Flores Magón,4753.0,11933,39.83072152853432,Baja
LIENA 5,Ricardo Flores Magón,6573.0,11933,55.0825442051454,Media
LB,Romero Rubio,9961.20539205598,19166,51.97331416078461,Media
LÍNEA B,Romero Rubio,9215.363532110092,19166,48.08182997031249,Baja
LINÉA 3,Romero Rubio,9673.666666666666,19166,50.47305993251939,Media
L-B,Romero Rubio,12100.4,19166,63.134717729312314,Media
L7,Romero Rubio,10787.0,19166,56.28195763330899,Media
LNIEA 4,Romero Rubio,10491.0,19166,54.73755608890743,Media
LINEA  6,Romero Rubio,13896.666666666666,19166,72.5068698041671,Media
LINEA B2,Romero Rubio,14305.0,19166,74.63737869143274,Media
LINENA 1,Romero Rubio,14415.5,19166,75.21392048419075,Media
L7,San Antonio,13621.166426957057,28515,47.768425133989325,Baja
LINÉA 3,San Antonio,13833.75,28515,48.513940031562335,Baja
LÍNEA 7,San Antonio,7688.220705346986,28515,26.962022463079034,Baja
LNIEA 4,San Antonio,7684.0,28515,26.94722076100298,Baja
L-7,San Antonio,12508.666666666666,28515,43.866970600268864,Baja
LÍNEA 11,San Antonio,15746.5,28515,55.22181308083465,Media
LINEA B2,San Antonio,12997.0,28515,45.57951955111345,Baja
LIENA 5,San Antonio,10964.333333333334,28515,38.451107604184934,Baja
LINEA  6,San Antonio,10915.0,28515,38.278099246010875,Baja
L7,Tacuba,7657.879040455377,59432,12.885110782836481,Baja
L2,Tacuba,34068.43531326282,59432,57.32338691826426,Media
LÍNEA 2,Tacuba,24437.072514619882,59432,41.117701767768004,Baja
L-2,Tacuba,28980.88888888889,59432,48.76310554732954,Baja
LINEA B2,Tacuba,16153.5,59432,27.17980212680038,Baja
L-7,Tacuba,6102.857142857143,59432,10.268638347787629,Baja
LÍNEA 11,Tacuba,30381.5,59432,51.11976712881949,Media
LÍNEA 7,Tacuba,6477.088737201365,59432,10.898318645176614,Baja
LINÉA 3,Tacuba,10358.2,59432,17.428657962040653,Baja
LINEA  6,Tacuba,22594.4,59432,38.01722977520528,Baja
LNIEA 4,Tacuba,19418.333333333332,59432,32.67319513617804,Baja
LINENA 1,Tacuba,17369.0,59432,29.22499663480953,Baja
L3,Viveros/derechos Humanos,21601.05552165955,38547,56.0382274149987,Media
LINEA B2,Viveros/derechos Humanos,24901.0,38547,64.59906088670974,Media
LÍNEA 3,Viveros/derechos Humanos,13791.80985915493,38547,35.77920424197714,Baja
LNIEA 4,Viveros/derechos Humanos,27302.0,38547,70.82782058266531,Media
L-3,Viveros/derechos Humanos,25932.555555555555,38547,67.27515904105522,Media
L7,Viveros/derechos Humanos,24855.0,38547,64.47972604871974,Media
